source,scenario,phase,row_kind,category,bucket_tokens,decode_batch,latency_ms,sample_count,peer_phase,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,provenance,valid_for_default,default_readiness
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,647,51,144.39161682128906,8,any_peer,144.39161682128906,144.4971160888672,144.2923126220703,144.4978485107422,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,683,52,417.2624740600586,8,any_peer,417.2624740600586,700.7955932617188,133.7473907470703,700.7969360351562,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,728,50,145.74451446533203,8,any_peer,145.74451446533203,145.7920684814453,145.63909912109375,145.7960968017578,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,746,48,157.901123046875,4,any_peer,157.901123046875,157.91871643066406,157.83407592773438,157.91871643066406,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,747,48,157.5353775024414,4,any_peer,157.5353775024414,157.54063415527344,157.42604064941406,157.54063415527344,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,829,49,424.8317184448242,8,any_peer,424.8317184448242,704.8699951171875,144.84927368164062,704.87060546875,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,852,54,195.10700225830078,4,any_peer,195.10700225830078,195.10972595214844,195.05413818359375,195.10972595214844,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,853,54,194.70999908447266,4,any_peer,194.70999908447266,194.710693359375,194.6032257080078,194.710693359375,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,854,47,159.39791107177734,4,any_peer,159.39791107177734,159.4060821533203,159.36502075195312,159.4060821533203,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,855,47,159.00211334228516,4,any_peer,159.00211334228516,159.00399780273438,158.93267822265625,159.00399780273438,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
