source,scenario,phase,category,bucket_tokens,decode_batch,hit,miss_reason,bucket_min,bucket_max,decode_batch_min,decode_batch_max,count
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,57,57,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,58,58,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,59,59,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,60,60,true,hit,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,61,61,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,62,62,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,63,63,false,interpolation_gap,2,64,2,64,2
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,64,64,true,hit,2,64,2,64,3
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,1,1,false,bucket_below_range,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,2,2,true,hit,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,3,3,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,4,4,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,5,5,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,6,6,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,7,7,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,other_cuda,8,8,false,interpolation_gap,2,64,2,64,1
